Dateiname	Signatur	Titel	Link	Größe	Datum
HK1.jpg 	HK 0001	Tabula Generalis Marchionatus Moraviae In Sex Circulos Divisae	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?1dnztsOLpuRyURKjCR9xy6SsS2C2FF6OttRZ0Ws0Y1fcFZ8R.ACqtoBNkY.8BxKWHc5UKO@qlEgVNVaJqPeQ.vlNnsUhXd2of0wgfBYTD5We6vJhkOBa5m.O44syzEI2EH5tmx7ZqQrCdhrI2iocoA/HK1.jpg#	17692.13 KB	02.12.15
HK2.jpg 	HK 0002	Ukrania quae et Terra Cosaccorum cum vicinis Walachiae, Moldaviae, Minorisque Tartariae provinciis	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?Gr4ghdEagQVQMxchMtHwII3Z0ZZxfZD7QSf6@r5SgMJB@nnfeZ7VbfvuBfdwXJnbAmefFooVcDRCijIsACc7a@7TO03FOuh6D9e3IaCqCYHz5HhXS.qQ@xO6LnY4mkBehD6Pda@OqlWtLK7X@nRT2g/HK2.jpg#	19200.68 KB	02.12.15
HK3.jpg 	HK 0003	Regni Mexicani Seu Novae Hispaniae, Ludovicianae, N. Angliae, Carolinae, Virginiae et Pensylvaniae nec non Insularum Archipelagi Mexicani In America Septentrionali accurata Tabula	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?ycFWIjJFP79Xmrd82HboFu7Vwpoy0w9weuJ4J7bYuhRauXZ.4xXXXRFKMtTOf9GDg02EF.NhWl0Mf4udF1t3c9atkvpiS0@jjaVa@N@DhRo36ZELvsHS7ygz.qAK.F0FyJhFzoYMOEEKLmd4ubrLng/HK3.jpg#	16614.12 KB	02.12.15
HK4.jpg 	HK 0004	Iudaea Seu Palaestina ob sacratißima Redentoris vestigia hodie dicta Terra Sancta prout olim In Duodecim Tribus Divisa, separatis ab invicem Regnis Iuda Et Israel expreßis insuper VI. ultimi temporis ejusdem Terrae Provinciis	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?xULJcfgNeWJxDYDaqvk4nHwIi7LMPRGsKvo2lTGamoV1IdqYyZ756O54GDJ8yMABksU2Hxj7U8vaOHy6qcYwRY9qbhoFBxhy2Gw8MFqBvOjA3NoCz172Q0YPV4fLO.tQsc2x4XhNRTAgziYf83gzhA/HK4.jpg#	15940.77 KB	02.12.15
HK5.jpg 	HK 0005	Imperium Turcicum in Europa, Asia et Africa	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?Map1gJEUYGI@ZK7TtoDJ@4lSzylsCPbZfAW4456v0gRQEWGGX4ah7zjyrAdiKW.YGnevSsfqpTaPS7lk@a7V.AvZXEdvout2CjBUTKY.0z2LcG6BHMzWyyxmmSZCj21cWhiAo2WGaOhiTTVMbFLBLw/HK5.jpg#	17301.18 KB	02.12.15
HK6.jpg 	HK 0006	Charte der vereinigten Königreiche Grosbritanien und Ireland	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?Vhxo@3GZMA98CxDc1RHhaHVCDHiJa9BvNOh593EvvUcj9bhNmEIzQ1Swki8ydxKG0cSg1RouZ0EwU9E48mYn9kHqTEWh1j5f6q1Klw22tR2FI.DOthJHj7n8sufodzT00lLOZZlP1bComWlHNGoSiw/HK6.jpg#	19287.33 KB	02.12.15
HK7.jpg 	HK 0007	Karte von Grossbritannien und Ireland	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?c3iSzvxHeHQxAtzTAsW5eTWhkdNzWQKSaxDsvZV8S8C73snGTJ3an9nfxe8hIC@RslMazjwg37Lt78UclMwYwzIzCPj4BkHOpkV71YAQX4ZOJVY6v@Hyj1Fjg.l@CTQ4kRrXxa7XHZwmtatCurgepQ/HK7.jpg#	14430.01 KB	02.12.15
HK8.jpg 	HK 0008	Karte von Scotland	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?kvWG83@6CxNyDrAdLxMOx0@jEVsYGTg6nfW6ApsgvGmcTaQe9HypHWnxYow8g.z2NCigOgZDCWDO0w5jCdmmv59Dp17DMfz5eBGcbyrff5fEs2jpRX4ddcabs1.RiCpJQ330ZgZxKaihbCRbuZJcBA/HK8.jpg#	21687.27 KB	02.12.15
HK9.jpg 	HK 0009	Magnae Britanniae Pars Meridionalis in qua Regnum Angliae Tam in Septem Antiqua Anglo-Saxonum Regna quam in omnes Hodiernas Regiones accurate divisum hic ostenditur	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?VN6O1bof.CImV66QzPuXCGzF4BEbaKBiCtUHxukHOiUHHHwkQn90MXc1wQ6mQwNkECiuu@D@ciLExJtOosHqOI7X8sU9tG8@w@M5ST3EQSjKWXsL9Ge1jHvHRat0GuqFdv0mESJaGvtUtlH9c99jpw/HK9.jpg#	17875.54 KB	02.12.15
HK10.jpg 	HK 0010	Karte von Scotland	http://ifl.wissensbank.com/cgi-bin/starfetch.exe?RwQSuAI3zYYeHAKnJUxM2FQ0tAZOWpX@R2NaZePKhT2EpUlgNDjEj4GzXu0SRJ7UxF.XqGCvpy3JlIseHvjrz2YGzL1ILZxzM3DqMWKEkXmVPmq8dvSv7tCrn0plJUNiwp6VjPxkhygMGo481ctq@Q/HK10.jpg#	19303.68 KB	02.12.15
